branch	length@orginal	lengthAfterBBL	factor	Diff	logL@orginal	logLAfterBBL	logL_Diff
N2	0.236	0.03935	0.1668	-0.1966	-1.186e+05	-1.185e+05	49.54
N3	0.1813	7.47e-05	0.0004121	-0.1812	-1.186e+05	-1.185e+05	102.4
N4	0.2213	0.07523	0.34	-0.146	-1.186e+05	-1.185e+05	41.46
t637000060_Carboxydothermus_hydrogenoformans	1.151	0.08479	0.07369	-1.066	-1.188e+05	-1.185e+05	260.1
N5	0.0721	0.004055	0.05625	-0.06805	-1.186e+05	-1.185e+05	45.01
N6	0.09785	0.03979	0.4066	-0.05806	-1.186e+05	-1.185e+05	18.17
t637000316_Syntrophomonas_wolfei	1.372	0.1201	0.08755	-1.252	-1.187e+05	-1.185e+05	176.3
t637000167_Moorella_thermoacetica	0.8399	0.06338	0.07546	-0.7765	-1.188e+05	-1.185e+05	229.7
t643348537_Desulfitobacterium_hafniense	1.624	0.0618	0.03806	-1.562	-1.188e+05	-1.185e+05	307.4
N7	0.5876	0.03667	0.06241	-0.551	-1.187e+05	-1.185e+05	149.1
N8	0.5907	0.09301	0.1575	-0.4977	-1.186e+05	-1.185e+05	77.82
t641736249_Clostridium_perfringens	0.6326	0.07196	0.1138	-0.5606	-1.187e+05	-1.185e+05	184.5
N9	0.1128	0.0001758	0.001559	-0.1126	-1.186e+05	-1.185e+05	65.55
t637000080_Clostridium_tetani	0.6101	0.1234	0.2023	-0.4867	-1.186e+05	-1.185e+05	110.5
N10	0.07637	0.006115	0.08007	-0.07025	-1.186e+05	-1.185e+05	24.91
t639633021_Clostridium_novyi	0.4997	0.08043	0.161	-0.4192	-1.187e+05	-1.185e+05	142
t651053017_Clostridium_acetobutylicum	0.5407	0.06837	0.1265	-0.4723	-1.187e+05	-1.185e+05	156.2
N11	0.3044	7.557e-05	0.0002483	-0.3043	-1.187e+05	-1.185e+05	130.6
t647000254_Fusobacterium_nucleatum	1.957	0.2909	0.1486	-1.666	-1.186e+05	-1.185e+05	32.19
N12	0.3221	0.003025	0.009391	-0.3191	-1.186e+05	-1.185e+05	94.7
N13	0.6459	0.05126	0.07935	-0.5947	-1.187e+05	-1.185e+05	148.3
N14	0.1037	1.831e-05	0.0001766	-0.1037	-1.186e+05	-1.185e+05	112.3
N15	0.203	0.07178	0.3536	-0.1312	-1.186e+05	-1.185e+05	42.2
N16	0.6346	0.04015	0.06327	-0.5945	-1.188e+05	-1.185e+05	270
t639633035_Listeria_welshimeri	0.02794	0.007541	0.2699	-0.0204	-1.186e+05	-1.185e+05	23.54
N17	0.01398	0.004511	0.3228	-0.009465	-1.185e+05	-1.185e+05	8.25
t637000152_Listeria_innocua	0.02214	1.001e-07	4.52e-06	-0.02214	-1.186e+05	-1.185e+05	46.98
t2511231184_Listeria_monocytogenes	0.2003	0.005829	0.0291	-0.1945	-1.189e+05	-1.185e+05	336.4
N18	0.4478	0.05326	0.1189	-0.3946	-1.186e+05	-1.185e+05	108.3
N19	0.2997	0.025	0.0834	-0.2747	-1.187e+05	-1.185e+05	172.2
N20	0.1401	0.01024	0.07312	-0.1298	-1.187e+05	-1.185e+05	132.7
N21	0.7543	0.08861	0.1175	-0.6657	-1.187e+05	-1.185e+05	180.8
N22	0.2144	0.02995	0.1397	-0.1845	-1.187e+05	-1.185e+05	118.7
t637000140_Lactobacillus_johnsonii	0.03833	0.007649	0.1996	-0.03068	-1.186e+05	-1.185e+05	21.18
t643886066_Lactobacillus_gasseri	0.0347	0.01659	0.4782	-0.01811	-1.185e+05	-1.185e+05	10.74
N23	0.1103	0.006007	0.05444	-0.1043	-1.186e+05	-1.185e+05	84.48
t637000139_Lactobacillus_delbrueckii	0.4307	0.0677	0.1572	-0.363	-1.187e+05	-1.185e+05	122.5
t637000138_Lactobacillus_acidophilus	0.3483	0.006533	0.01876	-0.3417	-1.188e+05	-1.185e+05	223.4
N24	0.09579	0.001267	0.01323	-0.09452	-1.186e+05	-1.185e+05	101
t637000142_Lactobacillus_sakei	0.4132	0.08027	0.1943	-0.3329	-1.187e+05	-1.185e+05	127.5
t651053039_Lactobacillus_casei	0.5493	0.03548	0.06459	-0.5138	-1.188e+05	-1.185e+05	261.8
N25	0.09272	0.005689	0.06136	-0.08703	-1.186e+05	-1.185e+05	71.23
t648231712_Lactobacillus_salivarius	0.5505	0.06635	0.1205	-0.4841	-1.188e+05	-1.185e+05	230.5
N26	0.07255	0.004916	0.06776	-0.06763	-1.186e+05	-1.185e+05	55.98
t639633049_Pediococcus_pentosaceus	0.6039	0.08591	0.1423	-0.518	-1.187e+05	-1.185e+05	193.2
N27	0.03744	0.001234	0.03296	-0.03621	-1.186e+05	-1.185e+05	30.11
N28	0.08999	1.008e-07	1.12e-06	-0.08999	-1.186e+05	-1.185e+05	87.59
t644736381_Lactobacillus_plantarum	0.4076	0.03625	0.08894	-0.3713	-1.187e+05	-1.185e+05	187.8
t639633027_Lactobacillus_brevis	0.4429	0.1148	0.2593	-0.3281	-1.186e+05	-1.185e+05	97.08
N29	0.5625	0.0465	0.08267	-0.516	-1.187e+05	-1.185e+05	177
t639633047_Oenococcus_oeni	0.8268	0.07234	0.08749	-0.7545	-1.187e+05	-1.185e+05	204.1
t2511231143_Leuconostoc_mesenteroides	0.693	0.03817	0.05507	-0.6549	-1.187e+05	-1.185e+05	168.8
N30	0.1277	0.008952	0.07011	-0.1187	-1.187e+05	-1.185e+05	118.4
N31	0.4593	0.01793	0.03903	-0.4414	-1.188e+05	-1.185e+05	229
t651053041_Lactococcus_lactis	0.5899	0.04425	0.07503	-0.5456	-1.187e+05	-1.185e+05	206.5
N32	0.3441	0.02952	0.0858	-0.3146	-1.187e+05	-1.185e+05	189.4
N33	0.07219	0.005397	0.07476	-0.06679	-1.186e+05	-1.185e+05	69.48
N34	0.02642	0.008399	0.3179	-0.01802	-1.185e+05	-1.185e+05	12.4
t651053075_Streptococcus_thermophilus	0.3028	0.04518	0.1492	-0.2576	-1.187e+05	-1.185e+05	130.2
N35	0.1131	0.03919	0.3466	-0.07388	-1.186e+05	-1.185e+05	39.57
t640069333_Streptococcus_pyogenes	0.2851	0.04507	0.1581	-0.24	-1.187e+05	-1.185e+05	149.2
t638341205_Streptococcus_agalactiae	0.1993	0.01983	0.09945	-0.1795	-1.187e+05	-1.185e+05	132.3
t646564575_Streptococcus_mutans	0.2722	0.03139	0.1153	-0.2408	-1.187e+05	-1.185e+05	162.9
N36	0.1686	0.006057	0.03593	-0.1625	-1.187e+05	-1.185e+05	164.3
t640963052_Streptococcus_pneumoniae	0.2748	0.0465	0.1692	-0.2283	-1.187e+05	-1.185e+05	159.8
t640069334_Streptococcus_sanguinis	0.178	0.04049	0.2275	-0.1375	-1.186e+05	-1.185e+05	84.8
t647533130_Enterococcus_faecalis	0.5121	0.05565	0.1087	-0.4564	-1.188e+05	-1.185e+05	261.8
N37	0.283	0.01558	0.05503	-0.2674	-1.188e+05	-1.185e+05	229.3
N38	0.09213	0.003879	0.04211	-0.08825	-1.187e+05	-1.185e+05	135.5
t637000201_Oceanobacillus_iheyensis	0.7457	0.07803	0.1046	-0.6677	-1.189e+05	-1.185e+05	353.5
N39	0.3083	0.01807	0.0586	-0.2902	-1.189e+05	-1.185e+05	364.8
t637000019_Bacillus_clausii	0.5203	0.03691	0.07094	-0.4834	-1.19e+05	-1.185e+05	478.3
t637000020_Bacillus_halodurans	0.3701	0.035	0.09458	-0.3351	-1.189e+05	-1.185e+05	339.4
N40	0.1229	0.01105	0.08987	-0.1119	-1.187e+05	-1.185e+05	158.6
t637000118_Geobacillus_kaustophilus	0.5856	0.07609	0.1299	-0.5095	-1.188e+05	-1.185e+05	314.6
N41	0.03597	0.003612	0.1004	-0.03235	-1.186e+05	-1.185e+05	29.98
N42	0.3641	0.02763	0.0759	-0.3364	-1.189e+05	-1.185e+05	393.3
t650377907_Bacillus_subtilis	0.2267	0.02048	0.09035	-0.2062	-1.189e+05	-1.185e+05	347.2
t639279304_Bacillus_licheniformis	0.2121	0.01724	0.08127	-0.1949	-1.189e+05	-1.185e+05	329
N43	0.7761	0.0576	0.07421	-0.7185	-1.189e+05	-1.185e+05	397.5
N44	0.009607	7.326e-05	0.007625	-0.009534	-1.186e+05	-1.185e+05	21.12
t643692005_Bacillus_anthracis	0.02697	0.007012	0.2599	-0.01996	-1.186e+05	-1.185e+05	30.01
t641736135_Bacillus_cereus	0.02811	0.009777	0.3478	-0.01834	-1.186e+05	-1.185e+05	23.83
t637000023_Bacillus_thuringiensis	0.00698	0.0008851	0.1268	-0.006095	-1.185e+05	-1.185e+05	9.34
N45	0.9142	0.08511	0.09309	-0.8291	-1.188e+05	-1.185e+05	274.7
t637000284_Staphylococcus_saprophyticus	0.1943	0.01222	0.06293	-0.182	-1.187e+05	-1.185e+05	201.8
N46	0.06968	0.01275	0.183	-0.05693	-1.186e+05	-1.185e+05	58.01
N47	0.03304	0.006269	0.1897	-0.02677	-1.186e+05	-1.185e+05	31.07
t642555160_Staphylococcus_haemolyticus	0.1748	0.01923	0.11	-0.1556	-1.187e+05	-1.185e+05	192.5
t645058812_Staphylococcus_epidermidis	0.1954	0.01512	0.07736	-0.1803	-1.187e+05	-1.185e+05	215.8
t645058811_Staphylococcus_aureus	0.1809	0.01728	0.09547	-0.1637	-1.187e+05	-1.185e+05	206.8
N48	0.7972	1.433	1.798	0.636	-1.185e+05	-1.185e+05	8.001
N49	0.8721	1.003e-07	1.15e-07	-0.8721	-1.188e+05	-1.185e+05	297.9
t637000158_Mesoplasma_florum	0.451	0.02108	0.04673	-0.4299	-1.187e+05	-1.185e+05	200.3
N50	0.4781	0.01038	0.02171	-0.4677	-1.188e+05	-1.185e+05	234
t637000181_Mycoplasma_mycoides	0.03894	0.007342	0.1886	-0.03159	-1.186e+05	-1.185e+05	27.68
t637000174_Mycoplasma_capricolum	0.05808	0.009814	0.169	-0.04826	-1.186e+05	-1.185e+05	42.52
N51	0.1919	0.009014	0.04698	-0.1829	-1.187e+05	-1.185e+05	124
N52	0.4705	0.007222	0.01535	-0.4632	-1.188e+05	-1.185e+05	233.8
N53	0.3534	0.008799	0.0249	-0.3446	-1.187e+05	-1.185e+05	201.1
t637000175_Mycoplasma_gallisepticum	0.9224	0.01804	0.01956	-0.9043	-1.188e+05	-1.185e+05	271.5
N54	0.8285	0.01347	0.01626	-0.815	-1.188e+05	-1.185e+05	284.3
t637000183_Mycoplasma_pneumoniae	0.2916	0.006658	0.02283	-0.285	-1.187e+05	-1.185e+05	199.5
t638341133_Mycoplasma_genitalium	0.3431	0.006195	0.01805	-0.3369	-1.187e+05	-1.185e+05	214.8
N55	0.1121	0.002702	0.02412	-0.1094	-1.186e+05	-1.185e+05	83.09
t645951878_Ureaplasma_urealyticum	1.23	0.04384	0.03565	-1.186	-1.188e+05	-1.185e+05	242.9
t637000182_Mycoplasma_penetrans	1.059	0.0383	0.03616	-1.021	-1.187e+05	-1.185e+05	216.6
N56	0.6434	0.009615	0.01494	-0.6338	-1.188e+05	-1.185e+05	273.1
t637000180_Mycoplasma_mobile	1.029	0.02784	0.02706	-1.001	-1.188e+05	-1.185e+05	269.5
N57	0.05631	0.008053	0.143	-0.04826	-1.186e+05	-1.185e+05	36.6
N58	0.1228	1.002e-07	8.155e-07	-0.1228	-1.187e+05	-1.185e+05	121.3
