# print with MP based on the cost matrix: 
#  0->0 =0
#  0->1 =2.001
#  1->0 =1
#  1->1 =0
# MP Gain and Loss counts
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N1	-1	0	1.60108	2	0	0
N2	0.235973	0.235973	1.3651	1	0	162
N3	0.181257	0.41723	1.23109	2	0	53
N4	0.221267	0.638497	1.00983	1	18	64
t637000060_Carboxydothermus_hydrogenoformans	1.15064	1.78913	0	0	16	129
N5	0.0721022	0.710599	0.937724	1	6	24
N6	0.0978521	0.808452	0.839872	1	2	81
t637000316_Syntrophomonas_wolfei	1.37182	2.18027	0	0	17	128
t637000167_Moorella_thermoacetica	0.839872	1.64832	0	0	44	47
t643348537_Desulfitobacterium_hafniense	1.62396	2.33456	0	0	70	65
N7	0.587626	1.00486	1.22328	2	33	76
N8	0.590671	1.59553	0.632613	1	29	64
t641736249_Clostridium_perfringens	0.632613	2.22814	0	0	23	109
N9	0.112817	1.70835	0.576047	1	8	23
t637000080_Clostridium_tetani	0.610098	2.31844	0	0	28	153
N10	0.0763687	1.78471	0.499678	1	7	40
t639633021_Clostridium_novyi	0.499678	2.28439	0	0	16	102
t651053017_Clostridium_acetobutylicum	0.540658	2.32537	0	0	89	44
N11	0.304361	1.30922	1.93725	1	4	43
t647000254_Fusobacterium_nucleatum	1.95686	3.26607	0	0	31	195
N12	0.322086	1.6313	1.61516	3	10	43
N13	0.645923	2.27723	0.969237	2	109	2
N14	0.103686	2.38091	0.865552	3	41	0
N15	0.202982	2.58389	0.66257	2	10	97
N16	0.63463	3.21852	0.02794	1	23	50
t639633035_Listeria_welshimeri	0.02794	3.24646	0	0	2	28
N17	0.0139763	3.2325	0.0221387	1	1	10
t637000152_Listeria_innocua	0.0221387	3.25464	0	0	0	11
t2511231184_Listeria_monocytogenes	0.200314	3.43282	0	0	3	1
N18	0.447849	3.03174	0.639755	2	27	67
N19	0.29971	3.33145	0.643195	2	5	41
N20	0.140064	3.47152	0.508996	2	4	37
N21	0.754348	4.22587	0.249097	2	6	112
N22	0.214401	4.44027	0.0346956	1	3	63
t637000140_Lactobacillus_johnsonii	0.038327	4.47859	0	0	1	16
t643886066_Lactobacillus_gasseri	0.0346956	4.47496	0	0	5	19
