# Gain and Loss
branch	branchLength	distance2root	distance2NearestOTU	numOfNodes2NearestOTU	exp01	exp10
N2	0.03935	0.03935	0.1175	1	65.14	115.2
N3	7.47e-05	0.03942	0.1411	2	0.1159	0.166
N4	0.07523	0.1147	0.06586	1	66.96	194.8
t637000060_Carboxydothermus_hydrogenoformans	0.08479	0.1994	0	0	62.19	164
N5	0.004055	0.1187	0.0618	1	3.986	6.972
N6	0.03979	0.1585	0.06338	1	29.09	81.37
t637000316_Syntrophomonas_wolfei	0.1201	0.2786	0	0	73.93	215.5
t637000167_Moorella_thermoacetica	0.06338	0.2219	0	0	64.44	97.99
t643348537_Desulfitobacterium_hafniense	0.0618	0.1805	0	0	93.1	91.92
N7	0.03667	0.0761	0.1269	2	67.44	88.12
N8	0.09301	0.1691	0.07196	1	87.9	240.7
t641736249_Clostridium_perfringens	0.07196	0.2411	0	0	68.73	129.9
N9	0.0001758	0.1693	0.07449	1	0.1652	0.307
t637000080_Clostridium_tetani	0.1234	0.2927	0	0	103.6	218.6
N10	0.006115	0.1754	0.06837	1	8.184	11.12
t639633021_Clostridium_novyi	0.08043	0.2558	0	0	49.31	155.4
t651053017_Clostridium_acetobutylicum	0.06837	0.2438	0	0	115.8	90.9
N11	7.557e-05	0.07617	0.1268	1	0.1337	0.1438
t647000254_Fusobacterium_nucleatum	0.2909	0.367	0	0	259.4	555.4
N12	0.003025	0.0792	0.1238	3	6.178	5.878
N13	0.05126	0.1305	0.07254	2	121.6	87.7
N14	1.831e-05	0.1305	0.07252	3	0.04087	0.01781
N15	0.07178	0.2022	0.04466	2	59.25	201.4
N16	0.04015	0.2424	0.004511	1	39.58	78.06
t639633035_Listeria_welshimeri	0.007541	0.2499	0	0	4.363	14.97
N17	0.004511	0.2469	1.001e-07	1	3.859	8.462
t637000152_Listeria_innocua	1.001e-07	0.2469	0	0	7.682e-07	7.746e-05
t2511231184_Listeria_monocytogenes	0.005829	0.2527	0	0	14.15	1.151
N18	0.05326	0.2555	0.0646	2	56.51	126.3
N19	0.025	0.2805	0.04698	2	16.61	58.61
N20	0.01024	0.2907	0.03674	2	5.828	17.29
N21	0.08861	0.3794	0.01254	2	39.41	165.1
N22	0.02995	0.4093	0.007649	1	13.71	43.44
t637000140_Lactobacillus_johnsonii	0.007649	0.417	0	0	4.508	11.9
t643886066_Lactobacillus_gasseri	0.01659	0.4259	0	0	11.47	17.87
N23	0.006007	0.3854	0.006533	1	1.721	10.44
t637000139_Lactobacillus_delbrueckii	0.0677	0.4531	0	0	49.18	83.59
t637000138_Lactobacillus_acidophilus	0.006533	0.3919	0	0	5.246	7.656
N24	0.001267	0.292	0.03548	1	1.171	1.868
t637000142_Lactobacillus_sakei	0.08027	0.3723	0	0	48.19	142.3
t651053039_Lactobacillus_casei	0.03548	0.3275	0	0	42.7	55.81
N25	0.005689	0.2862	0.0424	1	4.214	14.34
t648231712_Lactobacillus_salivarius	0.06635	0.3525	0	0	37.66	110.8
N26	0.004916	0.2911	0.03748	1	7.369	7.058
t639633049_Pediococcus_pentosaceus	0.08591	0.377	0	0	33.28	151.7
N27	0.001234	0.2923	0.03625	2	1.618	1.569
N28	1.008e-07	0.2923	0.03625	1	0.0001248	0.0001057
t644736381_Lactobacillus_plantarum	0.03625	0.3286	0	0	76.66	44.16
t639633027_Lactobacillus_brevis	0.1148	0.4072	0	0	79.95	188.4
N29	0.0465	0.3388	0.03817	1	33.65	86.83
t639633047_Oenococcus_oeni	0.07234	0.4112	0	0	35.81	107.1
t2511231143_Leuconostoc_mesenteroides	0.03817	0.377	0	0	52.04	55.36
N30	0.008952	0.2645	0.05565	1	10.54	12.44
N31	0.01793	0.2824	0.04425	1	20.14	37
t651053041_Lactococcus_lactis	0.04425	0.3266	0	0	38.93	89.44
N32	0.02952	0.3119	0.03679	2	24.58	54.06
