branch	length@orginal	lengthAfterBBL	factor	Diff	logL@orginal	logLAfterBBL	logL_Diff
N2	1.005	0.1061	0.1056	-0.8988	-1.731e+04	-1.728e+04	33.29
t641736249_Clostridium_perfringens	1.223	0.2212	0.1808	-1.002	-1.736e+04	-1.728e+04	80.19
N3	0.3044	0.01225	0.04026	-0.2921	-1.732e+04	-1.728e+04	39.17
t647000254_Fusobacterium_nucleatum	1.957	0.4041	0.2065	-1.553	-1.735e+04	-1.728e+04	72.58
N4	1.072	0.1108	0.1034	-0.9609	-1.732e+04	-1.728e+04	46.37
N5	0.6508	0.1533	0.2355	-0.4976	-1.731e+04	-1.728e+04	34.99
N6	0.2997	0.01918	0.06401	-0.2805	-1.738e+04	-1.728e+04	99.89
N7	0.1401	0.03028	0.2162	-0.1098	-1.733e+04	-1.728e+04	49.62
N8	0.7543	0.1267	0.168	-0.6276	-1.742e+04	-1.728e+04	143.2
N9	0.2144	0.04231	0.1974	-0.1721	-1.736e+04	-1.728e+04	85.81
t637000140_Lactobacillus_johnsonii	0.03833	0.01138	0.2969	-0.02695	-1.729e+04	-1.728e+04	15.49
t643886066_Lactobacillus_gasseri	0.0347	0.02315	0.6671	-0.01155	-1.728e+04	-1.728e+04	4.389
N10	0.1103	0.007387	0.06695	-0.1029	-1.734e+04	-1.728e+04	65.6
t637000139_Lactobacillus_delbrueckii	0.4307	0.09853	0.2287	-0.3322	-1.739e+04	-1.728e+04	108.6
t637000138_Lactobacillus_acidophilus	0.3483	0.007214	0.02071	-0.3411	-1.747e+04	-1.728e+04	189.6
t651053039_Lactobacillus_casei	0.645	0.05276	0.08179	-0.5923	-1.746e+04	-1.728e+04	181.7
N11	0.09272	0.0009571	0.01032	-0.09176	-1.732e+04	-1.728e+04	45.53
t648231712_Lactobacillus_salivarius	0.5505	0.1057	0.1921	-0.4447	-1.742e+04	-1.728e+04	139.5
N12	0.11	0.003433	0.03121	-0.1066	-1.732e+04	-1.728e+04	46.09
N13	0.08999	0.004622	0.05136	-0.08537	-1.732e+04	-1.728e+04	38.71
t644736381_Lactobacillus_plantarum	0.4076	0.06169	0.1514	-0.3459	-1.737e+04	-1.728e+04	89.35
t639633027_Lactobacillus_brevis	0.4429	0.2085	0.4708	-0.2344	-1.732e+04	-1.728e+04	43.92
t2511231143_Leuconostoc_mesenteroides	1.256	0.129	0.1027	-1.127	-1.744e+04	-1.728e+04	167.1
N14	0.1277	0.0196	0.1535	-0.1081	-1.731e+04	-1.728e+04	35.76
N15	0.4593	0.03244	0.07062	-0.4269	-1.739e+04	-1.728e+04	117.2
t651053041_Lactococcus_lactis	0.5899	0.04156	0.07046	-0.5483	-1.742e+04	-1.728e+04	139.8
t651053075_Streptococcus_thermophilus	0.7455	0.1188	0.1593	-0.6267	-1.741e+04	-1.728e+04	136.9
t647533130_Enterococcus_faecalis	0.5121	0.1369	0.2674	-0.3752	-1.737e+04	-1.728e+04	92.93
t650377907_Bacillus_subtilis	1.033	0.5196	0.5031	-0.5131	-1.728e+04	-1.728e+04	4.981
